datetime,Open,High,Low,Close,Volume,Spread,RealVolume
2024-02-01 18:45:00,1.08601,1.0866,1.08585,1.08645,1583,0,0
2024-02-01 19:00:00,1.08645,1.08747,1.08622,1.08694,1494,0,0
2024-02-01 19:15:00,1.08694,1.08708,1.0861399999999999,1.08617,1212,0,0
2024-02-01 19:30:00,1.08618,1.08688,1.08607,1.08668,1106,0,0
2024-02-01 19:45:00,1.08668,1.08748,1.08663,1.08729,1145,0,0
2024-02-01 20:00:00,1.08728,1.08734,1.08649,1.08696,1352,0,0
2024-02-01 20:15:00,1.08697,1.08698,1.08632,1.08635,1255,0,0
2024-02-01 20:30:00,1.08635,1.08714,1.0863,1.0869,1193,0,0
2024-02-01 20:45:00,1.0869,1.08715,1.08657,1.08699,1104,0,0
2024-02-01 21:00:00,1.087,1.08746,1.08698,1.08745,947,0,0
2024-02-01 21:15:00,1.08745,1.08748,1.08716,1.08733,917,0,0
2024-02-01 21:30:00,1.08738,1.08743,1.08679,1.0872600000000001,1020,0,0
2024-02-01 21:45:00,1.08727,1.0874,1.08716,1.08721,850,0,0
2024-02-01 22:00:00,1.0872,1.08747,1.08713,1.08723,680,0,0
2024-02-01 22:15:00,1.08723,1.08727,1.08697,1.08711,594,0,0
2024-02-01 22:30:00,1.08711,1.08719,1.08695,1.08707,632,0,0
2024-02-01 22:45:00,1.08707,1.0872,1.08682,1.08716,760,0,0
2024-02-01 23:00:00,1.08716,1.08716,1.0868,1.08701,531,0,0
2024-02-01 23:15:00,1.08701,1.08731,1.087,1.08706,424,0,0
2024-02-01 23:30:00,1.0871,1.08729,1.08703,1.08711,368,0,0
2024-02-01 23:45:00,1.08713,1.0872600000000001,1.08706,1.08722,269,0,0
2024-02-02 00:00:00,1.08716,1.08721,1.08701,1.08717,28,0,0
2024-02-02 00:15:00,1.08717,1.08737,1.08678,1.08725,87,0,0
2024-02-02 00:30:00,1.08729,1.08733,1.08718,1.08723,99,0,0
2024-02-02 00:45:00,1.08723,1.08728,1.08722,1.08728,74,0,0
2024-02-02 01:00:00,1.08729,1.08763,1.08727,1.08753,208,0,0
2024-02-02 01:15:00,1.08753,1.08755,1.08739,1.08744,204,0,0
2024-02-02 01:30:00,1.08744,1.08745,1.08732,1.08737,192,0,0
2024-02-02 01:45:00,1.08737,1.08746,1.08737,1.08743,150,0,0
2024-02-02 02:00:00,1.08744,1.08774,1.08739,1.08769,294,0,0
2024-02-02 02:15:00,1.08769,1.08796,1.08759,1.08793,253,0,0
2024-02-02 02:30:00,1.08793,1.08797,1.08782,1.08793,280,0,0
2024-02-02 02:45:00,1.08793,1.08793,1.08717,1.08728,398,0,0
2024-02-02 03:00:00,1.08728,1.08758,1.08707,1.08733,381,0,0
2024-02-02 03:15:00,1.08733,1.08745,1.08721,1.08738,507,0,0
2024-02-02 03:30:00,1.08737,1.08745,1.08707,1.0873,626,0,0
2024-02-02 03:45:00,1.0873,1.08733,1.087,1.08717,487,0,0
2024-02-02 04:00:00,1.08717,1.08744,1.08714,1.08729,503,0,0
2024-02-02 04:15:00,1.08729,1.08738,1.08724,1.08737,347,0,0
2024-02-02 04:30:00,1.08737,1.08748,1.08723,1.0874,356,0,0
2024-02-02 04:45:00,1.0874,1.0878700000000001,1.08737,1.08786,315,0,0
2024-02-02 05:00:00,1.08786,1.08789,1.08765,1.08771,327,0,0
2024-02-02 05:15:00,1.08771,1.08774,1.08745,1.08747,305,0,0
2024-02-02 05:30:00,1.08748,1.08755,1.08734,1.0874,258,0,0
2024-02-02 05:45:00,1.0874,1.08771,1.08737,1.08769,291,0,0
2024-02-02 06:00:00,1.08768,1.08773,1.08757,1.08758,313,0,0
2024-02-02 06:15:00,1.08758,1.08766,1.08739,1.0874,277,0,0
2024-02-02 06:30:00,1.0874,1.08746,1.08733,1.08733,190,0,0
2024-02-02 06:45:00,1.08733,1.08745,1.0872,1.08731,270,0,0
2024-02-02 07:00:00,1.08731,1.08747,1.08724,1.08739,324,0,0
2024-02-02 07:15:00,1.08739,1.0878,1.08733,1.0877,369,0,0
2024-02-02 07:30:00,1.0877,1.08815,1.08769,1.08806,384,0,0
2024-02-02 07:45:00,1.08806,1.08826,1.08774,1.08776,330,0,0
2024-02-02 08:00:00,1.08776,1.08811,1.08766,1.08805,309,0,0
2024-02-02 08:15:00,1.08805,1.08805,1.08763,1.08792,506,0,0
2024-02-02 08:30:00,1.08792,1.08803,1.08774,1.08792,490,0,0
2024-02-02 08:45:00,1.0879,1.08801,1.08741,1.08757,645,0,0
2024-02-02 09:00:00,1.08757,1.08839,1.08744,1.08836,621,0,0
2024-02-02 09:15:00,1.08836,1.08872,1.08804,1.08805,691,0,0
2024-02-02 09:30:00,1.08805,1.08857,1.088,1.08825,745,0,0
2024-02-02 09:45:00,1.08825,1.08836,1.08778,1.0881,707,0,0
2024-02-02 10:00:00,1.0881,1.08902,1.088,1.08874,1045,0,0
2024-02-02 10:15:00,1.08874,1.08874,1.08761,1.08771,907,0,0
2024-02-02 10:30:00,1.08771,1.08801,1.08734,1.0878,896,0,0
2024-02-02 10:45:00,1.0878,1.08803,1.08746,1.08794,892,0,0
2024-02-02 11:00:00,1.08793,1.08875,1.08793,1.08858,886,0,0
2024-02-02 11:15:00,1.08858,1.08951,1.08845,1.0895,766,0,0
2024-02-02 11:30:00,1.0895,1.08976,1.08916,1.08971,660,0,0
2024-02-02 11:45:00,1.08971,1.08973,1.08882,1.08908,642,0,0
2024-02-02 12:00:00,1.08908,1.0895,1.0889199999999999,1.08908,684,0,0
2024-02-02 12:15:00,1.08907,1.08927,1.08852,1.08879,540,0,0
2024-02-02 12:30:00,1.0888,1.08885,1.08812,1.08816,767,0,0
2024-02-02 12:45:00,1.08816,1.0887,1.08807,1.08846,654,0,0
2024-02-02 13:00:00,1.08846,1.08864,1.0879,1.08794,522,0,0
2024-02-02 13:15:00,1.08793,1.08834,1.08781,1.08834,552,0,0
2024-02-02 13:30:00,1.08834,1.08849,1.08824,1.0883099999999999,409,0,0
2024-02-02 13:45:00,1.0883,1.08839,1.08808,1.08837,461,0,0
2024-02-02 14:00:00,1.08837,1.08851,1.08804,1.08812,489,0,0
2024-02-02 14:15:00,1.08811,1.08846,1.08807,1.08822,559,0,0
2024-02-02 14:30:00,1.08816,1.0883,1.08778,1.08789,538,0,0
