datetime,open,high,low,close,volume
2016-05-18,12.5,14.93,12.5,13.18,482.52182654
2016-05-19,13.18,14.9,13.0,14.9,950.44120523
2016-05-20,14.82,14.82,13.71,14.17,254.16661711
2016-05-23,13.86,13.91,13.61,13.61,180.78671194
2016-05-24,13.68,13.74,12.0,12.77,2753.23929761
2016-05-25,13.0,13.18,11.93,12.61,9697.18159109
2016-05-26,12.61,12.95,12.15,12.47,2989.89095855
2016-05-27,12.47,12.47,10.25,10.98,19334.80270001
2016-05-28,11.3,12.44,10.7,12.02,15681.8628585
2016-05-29,12.02,12.49,11.7,12.34,3387.40487214
2016-05-30,12.35,12.88,12.0,12.88,4135.59302674
2016-05-31,12.84,14.24,12.37,14.16,5807.80267105
2016-06-01,14.15,14.45,13.5,13.93,10399.90743021
2016-06-02,13.93,14.18,13.76,14.03,8053.87238728
2016-06-03,14.03,14.12,13.49,13.98,13008.11158384
2016-06-04,13.98,14.03,13.56,13.95,6261.45920002
2016-06-05,13.97,14.06,13.8,14.04,1959.58572034
2016-06-06,14.02,14.3,13.83,14.22,5140.25595197
2016-06-07,14.21,14.69,13.97,14.52,13018.45243483
2016-06-08,14.53,14.87,14.4,14.64,12612.50810563
2016-06-09,14.64,14.85,14.55,14.71,8228.78935239
2016-06-10,14.61,14.74,13.76,13.91,17343.60529673
2016-06-11,13.93,14.29,13.86,14.1,7584.34578331
2016-06-12,14.14,15.91,13.92,15.58,20345.76593924
2016-06-13,15.91,17.93,15.49,17.89,24139.28308106
2016-06-14,17.86,19.08,16.96,18.79,35354.00175853
2016-06-15,18.79,18.81,17.89,18.42,13621.19598818
2016-06-16,18.51,21.35,18.5,20.99,34254.40154851
2016-06-17,20.99,22.0,13.75,15.65,123086.50823711
2016-06-18,15.64,15.74,10.0,11.64,80852.03798852
2016-06-19,11.55,13.4,10.72,12.35,28851.00195531
2016-06-20,12.35,12.74,10.8,11.81,34641.79666928
2016-06-21,11.44,13.89,11.2,13.89,32071.49064345
2016-06-22,13.3,15.89,13.07,13.18,68057.88469055
2016-06-23,13.18,14.5,12.68,13.81,34442.87789793
2016-06-24,13.98,14.8,13.25,14.55,32274.19757915
2016-06-25,14.55,14.74,14.0,14.37,10302.71187563
2016-06-26,14.39,14.49,13.6,14.02,7488.8236385
2016-06-27,14.0,14.59,13.85,14.1,10078.63738047
2016-06-28,14.06,14.25,11.52,12.23,42387.67810322
2016-06-29,12.16,13.13,11.62,12.74,25997.64756834
2016-06-30,12.7,13.06,12.19,12.49,12663.14580924
2016-07-01,12.48,12.54,11.8,12.34,19205.4897143
2016-07-02,12.28,12.45,12.0,12.09,11840.96985278
2016-07-03,12.16,12.16,11.65,12.02,11736.40355589
2016-07-04,11.94,11.99,11.41,11.48,5533.2581474
2016-07-05,11.45,11.48,9.31,10.6,34511.7068254
2016-07-06,10.6,11.0,10.24,10.61,14275.48001113
2016-07-07,10.6,10.7,9.75,10.08,21326.77616712
2016-07-08,10.08,11.8,10.05,11.43,27617.23490332
2016-07-09,11.39,11.57,10.68,11.01,9083.5261648
2016-07-10,11.02,11.3,10.9,11.02,9663.83583708
2016-07-11,11.0,11.16,10.11,10.72,11107.71792781
2016-07-12,10.65,10.98,10.5,10.57,13923.53770765
2016-07-13,10.58,10.65,10.49,10.49,5528.53520559
2016-07-14,10.5,11.78,10.33,11.62,25186.1631715
2016-07-15,11.56,12.75,11.4,11.99,24310.41873758
2016-07-16,11.98,12.4,11.79,11.8,7835.09442747
2016-07-17,11.81,11.92,11.02,11.33,12640.65466527
2016-07-18,11.27,11.93,11.0,11.05,14252.84312825
2016-07-19,11.08,11.98,11.07,11.75,7847.98405008
2016-07-20,11.7,13.0,11.22,12.5,39972.64055705
2016-07-21,12.53,13.09,12.1,12.76,72238.15862963
2016-07-22,12.76,15.11,12.73,14.83,199021.78612215
2016-07-23,14.99,15.39,14.0,14.52,115664.85905823
2016-07-24,14.52,14.57,12.05,12.78,140551.75773818
2016-07-25,12.71,14.01,12.61,13.91,102002.13638217
2016-07-26,13.93,13.95,11.88,12.0,165956.58096664
2016-07-27,12.0,13.4,11.75,13.1,109888.51441769
2016-07-28,13.1,13.14,12.53,12.93,65888.62850025
2016-07-29,12.93,12.95,12.57,12.84,53574.54517222
2016-07-30,12.84,12.88,12.49,12.49,38688.56312304
2016-07-31,12.49,12.67,11.61,11.99,57176.02478705
2016-08-01,11.98,12.12,10.8,10.95,91877.26285049
2016-08-02,10.9,11.31,6.68,8.78,195130.59686567
2016-08-03,8.68,10.78,8.54,10.68,215583.512364
2016-08-04,10.6,11.55,10.42,11.32,99077.49496569
2016-08-05,11.3,11.4,10.81,11.18,47211.47460946
2016-08-06,11.18,11.18,10.42,11.01,34961.5442009
2016-08-07,11.0,11.25,10.84,10.99,30029.04625241
2016-08-08,10.99,11.42,10.94,11.34,30922.78458975
2016-08-09,11.33,12.48,11.24,12.28,84417.44258041
2016-08-10,12.28,12.91,11.87,12.21,146626.25933812
2016-08-11,12.22,12.39,11.6,11.73,54926.88562361
2016-08-12,11.73,12.08,11.65,11.81,30677.55295917
2016-08-13,11.8,11.86,11.54,11.61,28354.66338244
2016-08-14,11.61,11.76,11.2,11.28,25765.64425382
2016-08-15,11.28,11.52,11.02,11.3,33109.31343517
2016-08-16,11.3,11.38,11.0,11.18,51006.91887219
2016-08-17,11.18,11.26,10.69,10.82,40056.82719069
2016-08-18,10.82,11.06,10.76,10.77,35781.19456056
2016-08-19,10.77,10.86,10.65,10.77,29172.24769995
2016-08-20,10.77,11.37,10.7,11.3,35237.83119915
2016-08-21,11.3,11.3,10.98,11.21,17991.20253784
2016-08-22,11.17,11.34,11.04,11.1,36422.56390129
2016-08-23,11.1,11.2,10.85,11.0,32543.67623417
2016-08-24,11.0,11.16,10.98,11.01,24028.11262635
2016-08-25,11.01,11.35,10.99,11.34,28931.96029963
2016-08-26,11.34,11.47,11.2,11.28,27315.07630676
2016-08-27,11.27,11.28,11.17,11.18,19819.1825905
2016-08-28,11.18,11.19,10.97,11.01,18597.57337445
2016-08-29,11.01,11.16,10.8,10.95,31692.28420368
2016-08-30,10.95,11.25,10.95,11.21,26085.36423008
2016-08-31,11.21,11.7,11.09,11.7,37764.85035055
2016-09-01,11.66,12.5,11.57,12.05,86923.53623039
2016-09-02,12.04,12.35,11.95,12.15,40624.95260066
2016-09-03,12.15,12.47,11.6,11.88,37685.4071003
2016-09-04,11.84,11.88,11.54,11.77,19087.25431474
2016-09-05,11.77,11.84,11.62,11.76,14082.01283621
2016-09-06,11.75,11.76,11.5,11.71,27155.23259948
2016-09-07,11.75,11.9,11.53,11.58,33512.36863088
2016-09-08,11.55,11.7,11.31,11.39,31912.58143522
2016-09-09,11.39,11.69,11.34,11.64,21564.69540449
2016-09-10,11.64,12.21,11.55,12.21,20050.67411838
2016-09-11,12.2,12.21,11.6,11.65,25284.19288293
2016-09-12,11.64,11.95,11.64,11.86,20983.23937881
