timestamp,open,high,low,close,volume
2025-02-25 15:53:57.520,88897.0,89425.0,88831.0,89288.0,595.12531
2025-02-25 16:08:57.520,89289.0,89435.0,89053.0,89299.0,553.2535
2025-02-25 16:23:57.520,89298.0,89589.0,89176.0,89307.0,341.01605
2025-02-25 16:38:57.520,89306.0,89307.0,88973.0,89031.0,369.40467
2025-02-25 16:53:57.520,89031.0,89440.0,88946.0,89440.0,179.72423
2025-02-25 17:08:57.520,89440.0,89586.0,89122.0,89435.0,220.84788
2025-02-25 17:23:57.520,89428.0,89435.0,89040.0,89057.0,315.69259
2025-02-25 17:38:57.520,89056.0,89176.0,88760.0,89090.0,371.83995
2025-02-25 17:53:57.520,89089.0,89234.0,88796.0,88849.0,596.34676
2025-02-25 18:08:57.520,88848.0,89188.0,88733.0,89175.0,506.67627
2025-02-25 18:23:57.520,89175.0,89407.0,88576.0,89205.0,913.82526
2025-02-25 18:38:57.520,89197.0,89198.0,87919.0,88037.0,2280.67102
2025-02-25 18:53:57.520,88038.0,88144.0,87081.0,87179.0,1827.92003
2025-02-25 19:08:57.520,87185.0,87567.0,86459.0,86791.0,2652.21856
2025-02-25 19:23:57.520,86791.0,87158.0,86301.0,86613.0,2420.16658
2025-02-25 19:38:57.520,86608.0,87272.0,86095.0,87030.0,2251.68672
2025-02-25 19:53:57.520,87030.0,87814.0,86973.0,87246.0,801.9804
2025-02-25 20:08:57.520,87247.0,87340.0,86793.0,87183.0,630.78658
2025-02-25 20:23:57.520,87184.0,87193.0,86356.0,86426.0,572.79747
2025-02-25 20:38:57.520,86427.0,87415.0,86204.0,87383.0,1097.53463
2025-02-25 20:53:57.520,87384.0,87944.0,87300.0,87532.0,1421.36047
2025-02-25 21:08:57.520,87534.0,87850.0,87196.0,87568.0,1171.73361
2025-02-25 21:23:57.520,87569.0,87649.0,86885.0,87602.0,1027.76736
2025-02-25 21:38:57.520,87603.0,87920.0,87169.0,87180.0,993.96341
2025-02-25 21:53:57.520,87180.0,87358.0,86914.0,87315.0,730.56563
2025-02-25 22:08:57.520,87315.0,87891.0,87266.0,87444.0,787.90883
